No.,Time,Source,Destination,Protocol,Length,Info,Source Port,Destination Port,Human
177,6.04635,3232281142,3232281089,TCP,54,49761  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49761,53,0
178,6.046364,3232281142,3232281089,TCP,54,49762  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49762,53,0
179,6.046378,3232281142,3232281089,TCP,54,49763  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49763,53,0
180,6.046396,3232281142,3232281089,TCP,54,49764  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49764,53,0
181,6.046412,3232281142,3232281089,TCP,54,49765  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49765,53,0
182,6.046615,3512060511,3232281142,TCP,54,443  >  49342 [ACK] Seq=1 Ack=104 Win=303 Len=0,443,49342,0
183,6.046615,3512060511,3232281142,TLSv1.2,93,Application Data,443,49342,1
184,6.046843,3232281142,3232281089,TCP,56,"49760  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49760,53,0
185,6.04686,3232281142,3232281089,TCP,56,"49762  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49762,53,0
186,6.046875,3232281142,3232281089,TCP,56,"49761  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49761,53,0
187,6.046876,3232281142,3232281089,DNS,91,Standard query 0x5270 A www.ticketmaster.ie,49760,53,0
188,6.046894,3232281142,3232281089,DNS,86,Standard query 0xddb3 A uk.tmconst.com,49762,53,0
189,6.046902,3232281142,3232281089,TCP,56,"49763  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49763,53,0
190,6.046904,3232281142,3232281089,DNS,91,Standard query 0x7f10 HTTPS www.ticketmaster.ie,49761,53,0
191,6.046939,3232281142,3232281089,DNS,86,Standard query 0x9c6f HTTPS uk.tmconst.com,49763,53,0
192,6.047271,3232281142,3232281089,TCP,56,"49764  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49764,53,0
193,6.047283,3232281142,3232281089,DNS,89,Standard query 0x314b A cdn.cookielaw.org,49764,53,0
194,6.047419,3232281142,3232281089,TCP,56,"49765  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49765,53,0
195,6.047433,3232281142,3232281089,DNS,89,Standard query 0xe840 HTTPS cdn.cookielaw.org,49765,53,0
197,6.048832,3232281089,3232281142,TCP,54,53  >  49760 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49760,0
198,6.048832,3232281089,3232281142,TCP,54,53  >  49760 [ACK] Seq=1 Ack=40 Win=29216 Len=0,53,49760,0
199,6.050062,3232281089,3232281142,TCP,54,53  >  49762 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49762,0
200,6.050062,3232281089,3232281142,TCP,54,53  >  49761 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49761,0
201,6.050062,3232281089,3232281142,TCP,54,53  >  49762 [ACK] Seq=1 Ack=35 Win=29216 Len=0,53,49762,0
202,6.050062,3232281089,3232281142,TCP,54,53  >  49761 [ACK] Seq=1 Ack=40 Win=29216 Len=0,53,49761,0
203,6.050062,3232281089,3232281142,TCP,54,53  >  49763 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49763,0
204,6.050062,3232281089,3232281142,TCP,54,53  >  49763 [ACK] Seq=1 Ack=35 Win=29216 Len=0,53,49763,0
205,6.050062,3232281089,3232281142,TCP,54,53  >  49764 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49764,0
206,6.050062,3232281089,3232281142,TCP,54,53  >  49764 [ACK] Seq=1 Ack=38 Win=29216 Len=0,53,49764,0
207,6.050062,3232281089,3232281142,TCP,54,53  >  49765 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49765,0
208,6.050062,3232281089,3232281142,TCP,54,53  >  49765 [ACK] Seq=1 Ack=38 Win=29216 Len=0,53,49765,0
209,6.051196,3512060511,3232281142,TCP,54,443  >  49342 [ACK] Seq=40 Ack=215 Win=303 Len=0,443,49342,0
212,6.052309,60984449,3232281142,TCP,54,443  >  49604 [ACK] Seq=26 Ack=2 Win=131 Len=0,443,49604,0
213,6.052309,3232281089,3232281142,DNS,123,Standard query response 0x314b A cdn.cookielaw.org A 104.18.130.236 A 104.18.131.236,53,49764,0
214,6.052309,3232281089,3232281142,DNS,161,Standard query response 0xe840 HTTPS cdn.cookielaw.org HTTPS,53,49765,0
215,6.052309,2902291547,3232281142,TCP,54,443  >  49399 [ACK] Seq=1 Ack=79 Win=289 Len=0,443,49399,0
216,6.052309,2902291547,3232281142,TCP,54,443  >  49399 [ACK] Seq=1 Ack=118 Win=289 Len=0,443,49399,0
217,6.052309,2902291547,3232281142,TCP,54,443  >  49399 [ACK] Seq=1 Ack=341 Win=297 Len=0,443,49399,0
218,6.052309,2902291547,3232281142,TLSv1.2,93,Application Data,443,49399,1
220,6.05282,3232281142,3232281089,TCP,54,"49764  >  53 [FIN, ACK] Seq=38 Ack=70 Win=131328 Len=0",49764,53,0
221,6.053046,3232281142,3232281089,TCP,54,"49765  >  53 [FIN, ACK] Seq=38 Ack=108 Win=131072 Len=0",49765,53,0
222,6.053401,3232281142,1746043628,TCP,66,49768  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49768,443,0
225,6.053691,3232281142,3232281089,TCP,66,49769  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49769,53,0
226,6.053815,3232281142,3232281089,TCP,66,49770  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49770,53,0
230,6.054447,3232281089,3232281142,TCP,54,"53  >  49764 [FIN, ACK] Seq=70 Ack=39 Win=29216 Len=0",53,49764,0
232,6.055043,3232281142,3232281089,TCP,54,49764  >  53 [ACK] Seq=39 Ack=71 Win=131328 Len=0,49764,53,0
235,6.055819,3232281089,3232281142,TCP,66,"53  >  49769 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49769,0
238,6.055933,3232281142,3232281089,TCP,54,49769  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49769,53,0
239,6.056397,3232281142,3232281089,TCP,56,"49769  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49769,53,0
240,6.056409,3232281142,3232281089,DNS,92,Standard query 0x1e58 A epsf.ticketmaster.ie,49769,53,0
241,6.056812,3232281089,3232281142,TCP,54,"53  >  49765 [FIN, ACK] Seq=108 Ack=39 Win=29216 Len=0",53,49765,0
242,6.056812,3232281089,3232281142,TCP,66,"53  >  49770 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49770,0
245,6.056979,3232281142,3232281089,TCP,54,49770  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49770,53,0
246,6.057129,3232281142,3232281089,TCP,54,49765  >  53 [ACK] Seq=39 Ack=109 Win=131072 Len=0,49765,53,0
247,6.057534,3232281142,3232281089,TCP,56,"49770  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49770,53,0
248,6.057553,3232281142,3232281089,DNS,92,Standard query 0x0183 HTTPS epsf.ticketmaster.ie,49770,53,0
249,6.058016,3232281089,3232281142,TCP,54,53  >  49769 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49769,0
250,6.058016,3232281089,3232281142,TCP,54,53  >  49769 [ACK] Seq=1 Ack=41 Win=29216 Len=0,53,49769,0
251,6.059089,3232281089,3232281142,TCP,54,53  >  49770 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49770,0
252,6.059089,3232281089,3232281142,TCP,54,53  >  49770 [ACK] Seq=1 Ack=41 Win=29216 Len=0,53,49770,0
255,6.062365,3232281089,3232281142,DNS,155,Standard query response 0xddb3 A uk.tmconst.com CNAME dualstack.ticketmaster.map.fastly.net A 199.232.26.87,53,49762,0
256,6.062365,3232281089,3232281142,DNS,197,Standard query response 0x9c6f HTTPS uk.tmconst.com CNAME dualstack.ticketmaster.map.fastly.net SOA ns1.fastly.net,53,49763,0
257,6.062365,3232281089,3232281142,DNS,155,Standard query response 0x5270 A www.ticketmaster.ie CNAME ticketmaster-intl.map.fastly.net A 199.232.26.87,53,49760,0
258,6.062654,3232281142,3232281089,TCP,54,"49763  >  53 [FIN, ACK] Seq=35 Ack=144 Win=131072 Len=0",49763,53,0
259,6.062741,3232281142,3232281089,TCP,54,"49762  >  53 [FIN, ACK] Seq=35 Ack=102 Win=131072 Len=0",49762,53,0
260,6.062777,3232281142,3232281089,TCP,54,"49760  >  53 [FIN, ACK] Seq=40 Ack=102 Win=131072 Len=0",49760,53,0
261,6.063079,3232281142,3232281089,TCP,66,49771  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49771,53,0
262,6.063224,3232281142,3232281089,TCP,66,49772  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49772,53,0
263,6.064809,3232281089,3232281142,DNS,200,Standard query response 0x7f10 HTTPS www.ticketmaster.ie CNAME ticketmaster-intl.map.fastly.net SOA ns1.fastly.net,53,49761,0
264,6.064809,1746043628,3232281142,TCP,66,"443  >  49768 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM WS=8192",443,49768,0
266,6.064809,3232281089,3232281142,TCP,66,"53  >  49771 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49771,0
267,6.064809,3232281089,3232281142,TCP,66,"53  >  49772 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49772,0
268,6.065172,3232281142,1746043628,TCP,54,49768  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0,49768,443,0
269,6.06521,3232281142,3232281089,TCP,54,49771  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49771,53,0
270,6.065218,3232281142,3232281089,TCP,54,49772  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49772,53,0
271,6.065806,3232281142,3353877079,TCP,66,49773  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49773,443,0
272,6.065942,3232281089,3232281142,TCP,54,"53  >  49763 [FIN, ACK] Seq=144 Ack=36 Win=29216 Len=0",53,49763,0
274,6.065942,3232281089,3232281142,TCP,54,"53  >  49760 [FIN, ACK] Seq=102 Ack=41 Win=29216 Len=0",53,49760,0
275,6.065942,3232281089,3232281142,TCP,54,"53  >  49762 [FIN, ACK] Seq=102 Ack=36 Win=29216 Len=0",53,49762,0
276,6.066184,3232281142,3232281089,TCP,56,"49771  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49771,53,0
