No.,Time,Source,Destination,Protocol,Length,Info,Source Port,Destination Port
91,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
92,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
93,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1179,Application Data,443,49338
94,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
95,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
96,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
97,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
98,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
99,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
100,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
101,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
102,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
103,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
104,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
105,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1179,Application Data,443,49338
106,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
107,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,1466,Application Data,443,49338
108,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,638,Application Data,443,49338
109,3.342493,209.85.202.105,192.168.178.54,TLSv1.2,85,Application Data,443,49338
110,3.342804,192.168.178.54,209.85.202.105,TCP,54,49338  >  443 [ACK] Seq=4407 Ack=41002 Win=2471 Len=0,49338,443
111,3.347598,209.85.202.105,192.168.178.54,TCP,54,443  >  49338 [ACK] Seq=41002 Ack=4407 Win=6441 Len=0,443,49338
112,3.732052,3.162.140.129,192.168.178.54,TLSv1.2,78,Application Data,443,49604
113,3.732052,3.162.140.129,192.168.178.54,TCP,54,"443  >  49604 [FIN, ACK] Seq=25 Ack=1 Win=131 Len=0",443,49604
114,3.732159,192.168.178.54,3.162.140.129,TCP,54,49604  >  443 [ACK] Seq=1 Ack=26 Win=514 Len=0,49604,443
116,3.850671,2.18.24.18,192.168.178.54,TCP,54,"80  >  50590 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50590
117,3.850671,2.18.24.18,192.168.178.54,TCP,54,"80  >  50593 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50593
118,3.850671,2.18.24.18,192.168.178.54,TCP,54,"80  >  50591 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50591
119,3.850743,192.168.178.54,2.18.24.18,TCP,54,50590  >  80 [RST] Seq=1 Win=0 Len=0,50590,80
120,3.850815,192.168.178.54,2.18.24.18,TCP,54,50593  >  80 [RST] Seq=1 Win=0 Len=0,50593,80
121,3.850824,192.168.178.54,2.18.24.18,TCP,54,50591  >  80 [RST] Seq=1 Win=0 Len=0,50591,80
122,3.859619,2.18.24.18,192.168.178.54,TCP,54,"80  >  50592 [FIN, ACK] Seq=1 Ack=1 Win=501 Len=0",80,50592
123,3.859652,192.168.178.54,2.18.24.18,TCP,54,50592  >  80 [RST] Seq=1 Win=0 Len=0,50592,80
124,4.362804,167.235.124.60,192.168.178.54,TLSv1.2,78,Application Data,443,49644
125,4.362804,167.235.124.60,192.168.178.54,TCP,54,"443  >  49644 [FIN, ACK] Seq=25 Ack=1 Win=165 Len=0",443,49644
126,4.362901,192.168.178.54,167.235.124.60,TCP,54,49644  >  443 [ACK] Seq=1 Ack=26 Win=512 Len=0,49644,443
127,4.495666,167.235.124.60,192.168.178.54,TLSv1.2,78,Application Data,443,49649
128,4.495666,167.235.124.60,192.168.178.54,TCP,54,"443  >  49649 [FIN, ACK] Seq=25 Ack=1 Win=165 Len=0",443,49649
129,4.495742,192.168.178.54,167.235.124.60,TCP,54,49649  >  443 [ACK] Seq=1 Ack=26 Win=513 Len=0,49649,443
130,4.540755,167.235.124.60,192.168.178.54,TLSv1.2,78,Application Data,443,49650
131,4.540755,167.235.124.60,192.168.178.54,TCP,54,"443  >  49650 [FIN, ACK] Seq=25 Ack=1 Win=165 Len=0",443,49650
132,4.541008,192.168.178.54,167.235.124.60,TCP,54,49650  >  443 [ACK] Seq=1 Ack=26 Win=512 Len=0,49650,443
133,4.727076,23.37.1.115,192.168.178.54,TLSv1.2,85,Encrypted Alert,443,50605
134,4.727076,23.37.1.115,192.168.178.54,TCP,54,"443  >  50605 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",443,50605
135,4.727133,192.168.178.54,23.37.1.115,TCP,54,50605  >  443 [RST] Seq=1 Win=0 Len=0,50605,443
136,4.727171,192.168.178.54,23.37.1.115,TCP,54,50605  >  443 [RST] Seq=1 Win=0 Len=0,50605,443
137,4.966237,23.200.105.143,192.168.178.54,TLSv1.2,85,Encrypted Alert,443,50604
138,4.966237,23.200.105.143,192.168.178.54,TCP,54,"443  >  50604 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",443,50604
139,4.966372,192.168.178.54,23.200.105.143,TCP,54,50604  >  443 [RST] Seq=1 Win=0 Len=0,50604,443
140,4.966473,192.168.178.54,23.200.105.143,TCP,54,50604  >  443 [RST] Seq=1 Win=0 Len=0,50604,443
144,5.69127,192.168.178.24,239.255.255.250,UDP,77,35247  >  15600 Len=35,35247,15600
146,5.957925,23.48.165.19,192.168.178.54,TLSv1.2,85,Encrypted Alert,443,50617
147,5.957925,23.48.165.19,192.168.178.54,TCP,54,"443  >  50617 [FIN, ACK] Seq=32 Ack=1 Win=501 Len=0",443,50617
148,5.958059,192.168.178.54,23.48.165.19,TCP,54,50617  >  443 [RST] Seq=1 Win=0 Len=0,50617,443
149,5.958166,192.168.178.54,23.48.165.19,TCP,54,50617  >  443 [RST] Seq=1 Win=0 Len=0,50617,443
150,6.039241,192.168.178.54,209.85.202.95,TLSv1.2,118,Application Data,49342,443
151,6.03932,192.168.178.54,209.85.202.95,TLSv1.2,93,Application Data,49342,443
152,6.039341,192.168.178.54,209.85.202.95,TLSv1.2,165,Application Data,49342,443
154,6.040366,192.168.178.54,192.168.178.1,TCP,66,49760  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49760,53
155,6.040596,192.168.178.54,192.168.178.1,TCP,66,49761  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49761,53
156,6.040789,192.168.178.54,192.168.178.1,TCP,66,49762  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49762,53
157,6.040909,192.168.178.54,192.168.178.1,TCP,66,49763  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49763,53
158,6.041075,192.168.178.54,192.168.178.1,TCP,66,49764  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49764,53
159,6.041179,192.168.178.54,192.168.178.1,TCP,66,49765  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49765,53
160,6.043612,192.168.178.54,167.235.124.60,TCP,54,"49649  >  443 [FIN, ACK] Seq=1 Ack=26 Win=513 Len=0",49649,443
161,6.043663,192.168.178.54,167.235.124.60,TCP,54,"49649  >  443 [RST, ACK] Seq=2 Ack=26 Win=0 Len=0",49649,443
162,6.043787,192.168.178.54,3.162.140.129,TCP,54,"49604  >  443 [FIN, ACK] Seq=1 Ack=26 Win=514 Len=0",49604,443
163,6.043853,192.168.178.54,167.235.124.60,TCP,54,"49650  >  443 [FIN, ACK] Seq=1 Ack=26 Win=512 Len=0",49650,443
164,6.043874,192.168.178.54,167.235.124.60,TCP,54,"49650  >  443 [RST, ACK] Seq=2 Ack=26 Win=0 Len=0",49650,443
165,6.043997,192.168.178.54,167.235.124.60,TCP,54,"49644  >  443 [FIN, ACK] Seq=1 Ack=26 Win=512 Len=0",49644,443
166,6.044017,192.168.178.54,167.235.124.60,TCP,54,"49644  >  443 [RST, ACK] Seq=2 Ack=26 Win=0 Len=0",49644,443
167,6.044229,192.168.178.54,172.253.116.91,TLSv1.2,132,Application Data,49399,443
168,6.044263,192.168.178.54,172.253.116.91,TLSv1.2,93,Application Data,49399,443
169,6.044282,192.168.178.54,172.253.116.91,TLSv1.2,277,Application Data,49399,443
170,6.045726,192.168.178.1,192.168.178.54,TCP,66,"53  >  49760 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49760
171,6.045726,192.168.178.1,192.168.178.54,TCP,66,"53  >  49761 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49761
172,6.045726,192.168.178.1,192.168.178.54,TCP,66,"53  >  49762 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49762
173,6.045726,192.168.178.1,192.168.178.54,TCP,66,"53  >  49763 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49763
174,6.045726,192.168.178.1,192.168.178.54,TCP,66,"53  >  49764 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49764
175,6.045726,192.168.178.1,192.168.178.54,TCP,66,"53  >  49765 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49765
176,6.046309,192.168.178.54,192.168.178.1,TCP,54,49760  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49760,53
177,6.04635,192.168.178.54,192.168.178.1,TCP,54,49761  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49761,53
178,6.046364,192.168.178.54,192.168.178.1,TCP,54,49762  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49762,53
179,6.046378,192.168.178.54,192.168.178.1,TCP,54,49763  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49763,53
180,6.046396,192.168.178.54,192.168.178.1,TCP,54,49764  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49764,53
181,6.046412,192.168.178.54,192.168.178.1,TCP,54,49765  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49765,53
182,6.046615,209.85.202.95,192.168.178.54,TCP,54,443  >  49342 [ACK] Seq=1 Ack=104 Win=303 Len=0,443,49342
183,6.046615,209.85.202.95,192.168.178.54,TLSv1.2,93,Application Data,443,49342
184,6.046843,192.168.178.54,192.168.178.1,TCP,56,"49760  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49760,53
185,6.04686,192.168.178.54,192.168.178.1,TCP,56,"49762  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49762,53
186,6.046875,192.168.178.54,192.168.178.1,TCP,56,"49761  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49761,53
187,6.046876,192.168.178.54,192.168.178.1,DNS,91,Standard query 0x5270 A www.ticketmaster.ie,49760,53
188,6.046894,192.168.178.54,192.168.178.1,DNS,86,Standard query 0xddb3 A uk.tmconst.com,49762,53
189,6.046902,192.168.178.54,192.168.178.1,TCP,56,"49763  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49763,53
190,6.046904,192.168.178.54,192.168.178.1,DNS,91,Standard query 0x7f10 HTTPS www.ticketmaster.ie,49761,53
191,6.046939,192.168.178.54,192.168.178.1,DNS,86,Standard query 0x9c6f HTTPS uk.tmconst.com,49763,53
192,6.047271,192.168.178.54,192.168.178.1,TCP,56,"49764  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49764,53
193,6.047283,192.168.178.54,192.168.178.1,DNS,89,Standard query 0x314b A cdn.cookielaw.org,49764,53
194,6.047419,192.168.178.54,192.168.178.1,TCP,56,"49765  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49765,53
195,6.047433,192.168.178.54,192.168.178.1,DNS,89,Standard query 0xe840 HTTPS cdn.cookielaw.org,49765,53
197,6.048832,192.168.178.1,192.168.178.54,TCP,54,53  >  49760 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49760
198,6.048832,192.168.178.1,192.168.178.54,TCP,54,53  >  49760 [ACK] Seq=1 Ack=40 Win=29216 Len=0,53,49760
199,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49762 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49762
200,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49761 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49761
201,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49762 [ACK] Seq=1 Ack=35 Win=29216 Len=0,53,49762
202,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49761 [ACK] Seq=1 Ack=40 Win=29216 Len=0,53,49761
203,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49763 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49763
204,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49763 [ACK] Seq=1 Ack=35 Win=29216 Len=0,53,49763
205,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49764 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49764
206,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49764 [ACK] Seq=1 Ack=38 Win=29216 Len=0,53,49764
207,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49765 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49765
208,6.050062,192.168.178.1,192.168.178.54,TCP,54,53  >  49765 [ACK] Seq=1 Ack=38 Win=29216 Len=0,53,49765
209,6.051196,209.85.202.95,192.168.178.54,TCP,54,443  >  49342 [ACK] Seq=40 Ack=215 Win=303 Len=0,443,49342
212,6.052309,3.162.140.129,192.168.178.54,TCP,54,443  >  49604 [ACK] Seq=26 Ack=2 Win=131 Len=0,443,49604
213,6.052309,192.168.178.1,192.168.178.54,DNS,123,Standard query response 0x314b A cdn.cookielaw.org A 104.18.130.236 A 104.18.131.236,53,49764
214,6.052309,192.168.178.1,192.168.178.54,DNS,161,Standard query response 0xe840 HTTPS cdn.cookielaw.org HTTPS,53,49765
215,6.052309,172.253.116.91,192.168.178.54,TCP,54,443  >  49399 [ACK] Seq=1 Ack=79 Win=289 Len=0,443,49399
216,6.052309,172.253.116.91,192.168.178.54,TCP,54,443  >  49399 [ACK] Seq=1 Ack=118 Win=289 Len=0,443,49399
217,6.052309,172.253.116.91,192.168.178.54,TCP,54,443  >  49399 [ACK] Seq=1 Ack=341 Win=297 Len=0,443,49399
218,6.052309,172.253.116.91,192.168.178.54,TLSv1.2,93,Application Data,443,49399
220,6.05282,192.168.178.54,192.168.178.1,TCP,54,"49764  >  53 [FIN, ACK] Seq=38 Ack=70 Win=131328 Len=0",49764,53
221,6.053046,192.168.178.54,192.168.178.1,TCP,54,"49765  >  53 [FIN, ACK] Seq=38 Ack=108 Win=131072 Len=0",49765,53
222,6.053401,192.168.178.54,104.18.130.236,TCP,66,49768  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49768,443
225,6.053691,192.168.178.54,192.168.178.1,TCP,66,49769  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49769,53
226,6.053815,192.168.178.54,192.168.178.1,TCP,66,49770  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49770,53
230,6.054447,192.168.178.1,192.168.178.54,TCP,54,"53  >  49764 [FIN, ACK] Seq=70 Ack=39 Win=29216 Len=0",53,49764
232,6.055043,192.168.178.54,192.168.178.1,TCP,54,49764  >  53 [ACK] Seq=39 Ack=71 Win=131328 Len=0,49764,53
235,6.055819,192.168.178.1,192.168.178.54,TCP,66,"53  >  49769 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49769
238,6.055933,192.168.178.54,192.168.178.1,TCP,54,49769  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49769,53
239,6.056397,192.168.178.54,192.168.178.1,TCP,56,"49769  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49769,53
240,6.056409,192.168.178.54,192.168.178.1,DNS,92,Standard query 0x1e58 A epsf.ticketmaster.ie,49769,53
241,6.056812,192.168.178.1,192.168.178.54,TCP,54,"53  >  49765 [FIN, ACK] Seq=108 Ack=39 Win=29216 Len=0",53,49765
242,6.056812,192.168.178.1,192.168.178.54,TCP,66,"53  >  49770 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49770
245,6.056979,192.168.178.54,192.168.178.1,TCP,54,49770  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49770,53
246,6.057129,192.168.178.54,192.168.178.1,TCP,54,49765  >  53 [ACK] Seq=39 Ack=109 Win=131072 Len=0,49765,53
247,6.057534,192.168.178.54,192.168.178.1,TCP,56,"49770  >  53 [PSH, ACK] Seq=1 Ack=1 Win=131328 Len=2 [TCP segment of a reassembled PDU]",49770,53
248,6.057553,192.168.178.54,192.168.178.1,DNS,92,Standard query 0x0183 HTTPS epsf.ticketmaster.ie,49770,53
249,6.058016,192.168.178.1,192.168.178.54,TCP,54,53  >  49769 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49769
250,6.058016,192.168.178.1,192.168.178.54,TCP,54,53  >  49769 [ACK] Seq=1 Ack=41 Win=29216 Len=0,53,49769
251,6.059089,192.168.178.1,192.168.178.54,TCP,54,53  >  49770 [ACK] Seq=1 Ack=3 Win=29216 Len=0,53,49770
252,6.059089,192.168.178.1,192.168.178.54,TCP,54,53  >  49770 [ACK] Seq=1 Ack=41 Win=29216 Len=0,53,49770
255,6.062365,192.168.178.1,192.168.178.54,DNS,155,Standard query response 0xddb3 A uk.tmconst.com CNAME dualstack.ticketmaster.map.fastly.net A 199.232.26.87,53,49762
256,6.062365,192.168.178.1,192.168.178.54,DNS,197,Standard query response 0x9c6f HTTPS uk.tmconst.com CNAME dualstack.ticketmaster.map.fastly.net SOA ns1.fastly.net,53,49763
257,6.062365,192.168.178.1,192.168.178.54,DNS,155,Standard query response 0x5270 A www.ticketmaster.ie CNAME ticketmaster-intl.map.fastly.net A 199.232.26.87,53,49760
258,6.062654,192.168.178.54,192.168.178.1,TCP,54,"49763  >  53 [FIN, ACK] Seq=35 Ack=144 Win=131072 Len=0",49763,53
259,6.062741,192.168.178.54,192.168.178.1,TCP,54,"49762  >  53 [FIN, ACK] Seq=35 Ack=102 Win=131072 Len=0",49762,53
260,6.062777,192.168.178.54,192.168.178.1,TCP,54,"49760  >  53 [FIN, ACK] Seq=40 Ack=102 Win=131072 Len=0",49760,53
261,6.063079,192.168.178.54,192.168.178.1,TCP,66,49771  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49771,53
262,6.063224,192.168.178.54,192.168.178.1,TCP,66,49772  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49772,53
